"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","verifyCorrectParticipantAgentId(ParticipantAgentService)","","Mon Jun 02 07:39:17 GMT 2025","passed","Mon Jun 02 07:39:17 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractorTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractorTest","verifyCorrectParticipantAgentId"
"","3018","Contract policy is fulfilled Dismantler Cred (activity type)","","Mon Jun 02 07:38:51 GMT 2025","passed","Mon Jun 02 07:38:54 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","1460","Contract policy is NOT fulfilled Dismantler allowedBrands (IS_NONE_OF, but is one contains)","","Mon Jun 02 07:38:33 GMT 2025","passed","Mon Jun 02 07:38:34 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","2952","Contract policy is NOT fulfilled Traceability Use Case (new notation)","","Mon Jun 02 07:40:05 GMT 2025","passed","Mon Jun 02 07:40:08 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","39","Policy is accepted Dismantler allowedBrands (IS_ANY_OF, one intersects)","","Mon Jun 02 07:36:49 GMT 2025","passed","Mon Jun 02 07:36:49 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","2968","Contract policy is NOT fulfilled Sustainability Use Case (legacy notation)","","Mon Jun 02 07:40:02 GMT 2025","passed","Mon Jun 02 07:40:05 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","6937","transferFile_success()","","Mon Jun 02 07:37:38 GMT 2025","passed","Mon Jun 02 07:37:45 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","transferFile_success"
"","5895","transferData_privateBackend()","","Mon Jun 02 07:38:00 GMT 2025","passed","Mon Jun 02 07:38:05 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_privateBackend"
"","8002","transferData_withExpiredEdr_shouldReturn4xx()","","Mon Jun 02 07:39:25 GMT 2025","passed","Mon Jun 02 07:39:33 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withExpiredEdr_shouldReturn4xx"
"","17185","Malicious actor should not impersonate a consumer sending a valid consumer VP","","Mon Jun 02 07:37:00 GMT 2025","passed","Mon Jun 02 07:37:17 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","shouldNotImpersonateConsumer_withConsumerPresentation"
