"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62","Policy is not accepted because definition is not correct ""Access policy permission with not allowed constraints""","","Mon Jun 29 08:25:36 UTC 2026","passed","Mon Jun 29 08:25:36 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","42","Verify HTTP 403 response when refreshing the token is not allowed","","Mon Jun 29 08:23:52 UTC 2026","passed","Mon Jun 29 08:23:52 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_unauthorized"
"","2059","transferFile_targetContainerNotExist_shouldFail(Vault)","","Mon Jun 29 08:22:55 UTC 2026","passed","Mon Jun 29 08:22:57 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_targetContainerNotExist_shouldFail"
"","6548","Contract policy is fulfilled ""DataExchangeGovernance use case""","","Mon Jun 29 08:23:10 UTC 2026","passed","Mon Jun 29 08:23:17 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","50","refreshEdr_whenNotFound()","","Mon Jun 29 08:23:52 UTC 2026","passed","Mon Jun 29 08:23:52 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotFound"
"","8276","transferFile_success()","","Mon Jun 29 08:23:27 UTC 2026","passed","Mon Jun 29 08:23:35 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","transferFile_success"
"","23","discoveryShouldReturn400_whenDidNotResolvable()","","Mon Jun 29 08:22:23 UTC 2026","passed","Mon Jun 29 08:22:23 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn400_whenDidNotResolvable"
"","87","Policy is accepted ""Data Usage End Date Definition""","","Mon Jun 29 08:25:34 UTC 2026","passed","Mon Jun 29 08:25:34 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","3011","Verify that the consumer receives only the offers he is permitted to (using the legacy CX policy)","","Mon Jun 29 08:21:47 UTC 2026","passed","Mon Jun 29 08:21:50 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpn_UsingLegacyCxPolicy_shouldReject"
"","82","Policy is accepted ""Affiliates BPNL""","","Mon Jun 29 08:25:34 UTC 2026","passed","Mon Jun 29 08:25:34 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
